word, 释义
orientation, 方向；适应
canonical, 标准形式
minify, 缩小
toggle, 触发器
conjunction, 结合
annotated, 带注解的
decor, 装饰
swipe view, 滑动的
lateral, 侧面的
dialect, 方言
constitude, 构成
suppress, 压制，阻止
surpass, 超过
semicolon, 分号
opaque, 不透明的
hibernate, 休眠
initiate, 开始
proliferation, 增殖，大量出现
rasterize, 栅格化，光栅化
resource scarcity, 资源短缺
inflation, （通货）膨胀
stimulate, 刺激
underscore, 下划线，强调
hierarchical, 分等级的
assertiveness, 果断
exemplify, v. 是……典范
avocado, 牛油果（奶油果，鳄梨）
in which proportion, 在某一部分
pitch, 投掷
be entranced by, 使入迷
dodgy deal, 狡猾的生日
